blkaddr,offense,time,x,y
2700 RUSSELL ST,THEFT MISD. (UNDER $950),2019-04-25 20:00:00,-122.25265300000001,37.858518
2000 KITTREDGE ST,ASSAULT/BATTERY FEL.,2019-04-25 17:45:00,-122.270054,37.868204
2200 SHATTUCK AV,ASSAULT/BATTERY MISD.,2019-04-25 10:59:00,-122.268028,37.869363
1800 SAN PABLO AV,THEFT FELONY (OVER $950),2019-04-25 20:54:00,-122.29295400000001,37.871369
2100 DWIGHT WAY,BURGLARY RESIDENTIAL,2019-04-25 14:15:00,-122.267307,37.863977
600 HEARST AV,ROBBERY,2019-04-25 16:45:00,-122.303753,37.868334000000004
100 SEAWALL DR,BURGLARY AUTO,2019-04-25 13:00:00,-122.31756599999999,37.863611
900 GRAYSON ST,FRAUD/FORGERY,2019-04-25 17:36:00,-122.29235700000001,37.855317
1300 SAN PABLO AV,BURGLARY AUTO,2019-04-25 13:05:00,-122.295798,37.880228
2300 STUART ST,BURGLARY RESIDENTIAL,2019-04-26 20:30:00,-122.26191499999999,37.859195
1900 SHATTUCK AV,ROBBERY,2019-04-26 06:33:00,-122.268616,37.873687
2600 HILLEGASS AV,FRAUD/FORGERY,2019-04-26 00:01:00,-122.256293,37.863292
2300 ROSE ST,BURGLARY AUTO,2019-04-26 20:00:00,-122.264574,37.883027
2200 SHATTUCK AV,DISTURBANCE,2019-04-26 14:08:00,-122.268028,37.869363
1200 QUEENS RD,VANDALISM,2019-04-26 23:05:00,-122.253497,37.888053
1900 ALLSTON WY,DISTURBANCE,2019-04-26 12:00:00,-122.272701,37.868784999999995
700 POTTER ST,BURGLARY AUTO,2019-04-26 18:40:00,-122.293322,37.851079999999996
1300 9TH ST,VEHICLE STOLEN,2019-04-26 08:00:00,-122.297995,37.879708
2800 FULTON ST,BURGLARY RESIDENTIAL,2019-04-26 16:00:00,-122.26411200000001,37.858759
2900 COLLEGE AV,VANDALISM,2019-04-26 16:00:00,-122.253179,37.858356
2400 HEARST AV,VEHICLE STOLEN,2019-04-26 18:00:00,-122.261596,37.874844
2400 EIGHTH ST,DISTURBANCE,2019-04-26 16:13:00,-122.293517,37.862184
1900 OXFORD ST,THEFT MISD. (UNDER $950),2019-04-26 19:20:00,-122.266332,37.873884999999994
1900 UNIVERSITY AV,THEFT MISD. (UNDER $950),2019-04-26 09:00:00,-122.272714,37.871544
600 VISTAMONT AV,BURGLARY AUTO,2019-04-26 22:30:00,-122.26447900000001,37.902692
2200 SHATTUCK AV,ASSAULT/BATTERY MISD.,2019-04-26 22:50:00,-122.268028,37.869363
1200 BONITA AV,FRAUD/FORGERY,2019-04-26 12:00:00,-122.273547,37.885385
1900 SHATTUCK AV,THEFT FROM PERSON,2019-04-26 12:00:00,-122.268616,37.873687
400 SPRUCE ST,THEFT MISD. (UNDER $950),2019-04-26 08:00:00,-122.27026299999999,37.904354999999995
1300 SAN PABLO AV,THEFT MISD. (UNDER $950),2019-04-26 20:30:00,-122.295798,37.880228
1200 SAN PABLO AV,DISTURBANCE,2019-04-26 11:34:00,-122.29638100000001,37.882033
500 UNIVERSITY AV,THEFT FELONY (OVER $950),2019-04-26 12:30:00,-122.30551000000001,37.866293
2100 SHATTUCK AV,THEFT MISD. (UNDER $950),2019-04-26 20:20:00,-122.268285,37.871167
1500 HEARST AV,BURGLARY AUTO,2019-04-26 06:45:00,-122.28206599999999,37.872158
200 UNIVERSITY AV,BURGLARY AUTO,2019-04-26 00:15:00,-122.30996699999999,37.865511
2600 BANCROFT WY,BURGLARY COMMERCIAL,2019-04-26 17:56:00,-122.256611,37.869031
1300 4TH ST,BURGLARY AUTO,2019-04-26 21:00:00,-122.303432,37.878644
1200 SAN PABLO AV,ASSAULT/BATTERY MISD.,2019-04-26 19:35:00,-122.29638100000001,37.882033
2200 BLAKE ST,BURGLARY RESIDENTIAL,2019-04-26 04:30:00,-122.26505300000001,37.863353000000004
1700 EIGHTH ST,BURGLARY COMMERCIAL,2019-04-26 23:00:00,-122.29677,37.872231
1400 FAIRVIEW ST,IDENTITY THEFT,2019-04-27 00:01:00,-122.279798,37.849315000000004
1500 EUCLID AV,BURGLARY RESIDENTIAL,2019-04-27 22:48:00,-122.26141499999999,37.881098
ASHBY AV & MARTIN LUTHER KING JR WY,ALCOHOL OFFENSE,2019-04-27 21:55:00,-122.271133,37.854265000000005
1400 GRIZZLY PEAK BL,VANDALISM,2019-04-27 23:00:00,-122.24847,37.884902000000004
1700 CARLETON ST,IDENTITY THEFT,2019-04-27 23:40:00,-122.27597800000001,37.860159
2600 VIRGINIA ST,VEHICLE STOLEN,2019-04-27 02:00:00,-122.258553,37.878056
1200 RUSSELL ST,DOMESTIC VIOLENCE,2019-04-27 11:19:00,-122.285643,37.853864
2000 5TH ST,BURGLARY RESIDENTIAL,2019-04-27 15:10:00,-122.298682,37.867271
2500 DURANT AV,GUN/WEAPON,2019-04-27 03:17:00,-122.258699,37.867852
600 VISTAMONT AV,BURGLARY AUTO,2019-04-27 00:00:00,-122.26447900000001,37.902692
2100 SHATTUCK AV,THEFT MISD. (UNDER $950),2019-04-27 20:10:00,-122.268285,37.871167
2900 9TH ST,ASSAULT/BATTERY MISD.,2019-04-27 01:00:00,-122.289588,37.853638000000004
2900 LORINA ST,FRAUD/FORGERY,2019-04-27 12:00:00,-122.26576499999999,37.856846999999995
1600 RUSSELL ST,NARCOTICS,2019-04-27 19:00:00,-122.277126,37.85525
2400 DURANT AV,ASSAULT/BATTERY MISD.,2019-04-27 15:45:00,-122.26127,37.867513
1800 CHESTNUT ST,SEXUAL ASSAULT FEL.,2019-04-27 00:01:00,-122.28832299999999,37.872099
1700 EIGHTH ST,THEFT MISD. (UNDER $950),2019-04-27 18:30:00,-122.29677,37.872231
1500 HARMON ST,ASSAULT/BATTERY MISD.,2019-04-27 11:00:00,-122.278043,37.848812
3000 ACTON ST,THEFT MISD. (UNDER $950),2019-04-27 06:30:00,-122.28136200000002,37.85306
1200 MILVIA ST,THEFT MISD. (UNDER $950),2019-04-27 21:30:00,-122.27282,37.885690999999994
3200 ADELINE ST,VANDALISM,2019-04-27 07:45:00,-122.27089699999999,37.850384999999996
2100 KITTREDGE ST,ASSAULT/BATTERY MISD.,2019-04-27 03:35:00,-122.26781000000001,37.868512
SHATTUCK AV & HASTE ST,DOMESTIC VIOLENCE,2019-04-28 15:00:00,-122.26754299999999,37.86487
100 SEAWALL DR,BURGLARY AUTO,2019-04-28 12:30:00,-122.31756599999999,37.863611
2000 DURANT AV,BURGLARY AUTO,2019-04-28 14:50:00,-122.26976200000001,37.866426000000004
2100 ALLSTON WY,DOMESTIC VIOLENCE,2019-04-28 11:00:00,-122.26788300000001,37.86939
400 GILMAN ST,THEFT MISD. (UNDER $950),2019-04-28 09:10:00,-122.30885500000001,37.877863
600 ADDISON ST,THEFT FELONY (OVER $950),2019-04-28 15:30:00,-122.30177900000001,37.865793
2700 CHANNING WY,SEXUAL ASSAULT FEL.,2019-04-28 00:00:00,-122.25405400000001,37.867490999999994
2000 4TH ST,VANDALISM,2019-04-28 16:45:00,-122.299898,37.867613
HEARST AV & SAN PABLO AV,NARCOTICS,2019-04-28 07:20:00,-122.292644,37.8704
2900 MARTIN LUTHER KING JR WY,ASSAULT/BATTERY FEL.,2019-04-28 00:10:00,-122.27127800000001,37.855998
OTIS STREET & ASHBY AV,IDENTITY THEFT,2019-04-28 00:34:00,-122.27000600000001,37.854427
INDIAN ROCK AV & SAN MATEO RD,VEHICLE STOLEN,2019-04-28 00:00:00,-122.2728,37.892427000000005
2400 WARRING ST,THEFT MISD. (UNDER $950),2019-04-28 00:30:00,-122.250801,37.867708
2300 SHATTUCK AV,THEFT MISD. (UNDER $950),2019-04-28 11:45:00,-122.267802,37.867176
1700 DERBY ST,THEFT MISD. (UNDER $950),2019-04-28 22:30:00,-122.27578700000001,37.859259
CAMPUS DRIVE & GLENDALE AV,VEHICLE STOLEN,2019-04-28 04:48:00,-122.254405,37.885525
DURANT AV & TELEGRAPH AV,ASSAULT/BATTERY MISD.,2019-04-28 01:45:00,-122.258994,37.867816
